hex,last_seen,alt_first,alt_last,baro_rate_med,gs_avg,lat_last,lon_last,track_last,flight,category,rssi_last,nac_p_last,dist_km,bearing,hdg_diff,phase,target_time,state
4bb2aa,2026-02-18 09:06:24.849282,9900.0,13650.0,-640.0,276.2,40.830921,30.315774,138.2,TKJ2CG,A3,-17.0,9.0,84.97805416736755,275.40984037552624,137.20984037552626,ARRIVAL,2026-02-18 09:27:45.474782000,"[84.98, 13650.0, 276.2, 137.2, -640.0, 3, -17.0]"
4bb2b2,2026-02-17 20:21:14.328574,30450.0,2600.0,-1344.0,168.6,40.932816,29.433044,244.3,TKJ9XF,A3,-14.2,9.0,11.079955109758131,249.95757083455575,5.657570834555742,ARRIVAL,2026-02-17 20:23:23.018996989,"[11.08, 2600.0, 168.6, 5.7, -1344.0, 3, -14.2]"
4bb323,2026-02-17 20:12:09.994648,25925.0,16825.0,-1024.0,379.8,41.000656,29.286926,334.9,THY5FA,A3,-14.1,10.0,11.501258640783458,170.63205820179974,164.26794179820024,ARRIVAL,2026-02-17 20:28:35.893491750,"[11.5, 16825.0, 379.8, 164.3, -1024.0, 3, -14.1]"
4bb325,2026-02-18 06:10:19.427486,21650.0,9800.0,-1088.0,358.5,40.906941,29.204032,324.5,THY577,A3,-15.6,10.0,8.887220152192944,95.95590452293845,131.45590452293845,ARRIVAL,2026-02-18 06:19:19.929662472,"[8.89, 9800.0, 358.5, 131.5, -1088.0, 3, -15.6]"
4bb475,2026-02-17 18:01:37.305516,23025.0,10600.0,-1024.0,336.3,41.032632,29.350912,318.0,MNB1549,A5,-14.1,9.0,15.309658921377723,193.23796174969758,124.76203825030242,ARRIVAL,2026-02-17 18:11:58.796266000,"[15.31, 10600.0, 336.3, 124.8, -1024.0, 5, -14.1]"
4bb563,2026-02-18 05:30:31.246339,28750.0,12700.0,-1728.0,322.2,41.129471,29.421143,173.2,CAI9732,A3,-15.3,10.0,27.33585853603506,200.132300486511,26.932300486511025,ARRIVAL,2026-02-18 05:37:52.853561220,"[27.34, 12700.0, 322.2, 26.9, -1728.0, 3, -15.3]"
4bb748,2026-02-18 05:00:49.673923,22100.0,30975.0,-1152.0,480.0,,,81.0,HMZ3772,A2,-18.9,0.0,,,180.0,ARRIVAL,2026-02-18 05:27:43.075172998,"[50.0, 30975.0, 480.0, 180.0, -1152.0, 2, -18.9]"
4bb848,2026-02-18 06:09:37.369439,20675.0,3375.0,-896.0,138.2,40.950073,29.449463,243.8,PGT721,A3,-16.3,8.0,13.1007576785272,244.14059916746803,0.3405991674680138,ARRIVAL,2026-02-18 06:13:23.749903284,"[13.1, 3375.0, 138.2, 0.3, -896.0, 3, -16.3]"
4bb863,2026-02-18 00:16:41.303128,4025.0,3175.0,-704.0,157.0,40.697891,30.271484,244.7,PGT1927,A3,-17.1,8.0,84.0192330904972,285.7181762586872,41.01817625868722,ARRIVAL,2026-02-18 00:34:01.962965594,"[84.02, 3175.0, 157.0, 41.0, -704.0, 3, -17.1]"
4bb866,2026-02-18 05:04:51.804285,26300.0,3525.0,-896.0,156.5,40.952499,29.456116,244.3,PGT391,A3,-16.5,8.0,13.721200901919637,244.14883433045918,0.15116566954083055,ARRIVAL,2026-02-18 05:08:48.259392142,"[13.72, 3525.0, 156.5, 0.2, -896.0, 3, -16.5]"
